"molecularAlterationType","genericAssayType","datatype","name","description","showProfileInAnalysisTab","patientLevel","molecularProfileId","studyId"
"GENERIC_ASSAY","ARMLEVEL_CNA","CATEGORICAL","Putative arm-level copy-number from GISTIC","Putative arm-level copy-number from GISTIC 2.0.","True","False","lusc_tcga_pan_can_atlas_2018_armlevel_cna","lusc_tcga_pan_can_atlas_2018"
"GENERIC_ASSAY","GENETIC_ANCESTRY","LIMIT-VALUE","Genetic Ancestry","Genetic ancestries were determined using five different methods as described in Carrot-Zhang et al (2020). These consensus calls were created based on the ancestral population that received the majority of assignments for each patient. The original data is <a href=""https://gdc.cancer.gov/about-data/publications/CCG-AIM-2020"">here</a>.","True","False","lusc_tcga_pan_can_atlas_2018_genetic_ancestry","lusc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION",,"DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.","True","False","lusc_tcga_pan_can_atlas_2018_gistic","lusc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION",,"LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).","False","False","lusc_tcga_pan_can_atlas_2018_log2CNA","lusc_tcga_pan_can_atlas_2018"
"GENERIC_ASSAY","METHYLATION","LIMIT-VALUE","Methylation (HM27 and HM450 merge)","Methylation between-platform (hm27 and hm450) normalization values.","True","False","lusc_tcga_pan_can_atlas_2018_methylation_hm27_hm450_merge","lusc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED",,"MAF","Mutations","Mutation data from whole exome sequencing of 487 Lung Squamous Cell Carcinoma samples.","True","False","lusc_tcga_pan_can_atlas_2018_mutations","lusc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION",,"CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","False","False","lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","lusc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION",,"Z-SCORE","mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM)","mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.","True","False","lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","lusc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION",,"Z-SCORE","mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM)","Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).","True","False","lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores","lusc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION",,"Z-SCORE","mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM)","Expression z-scores of tumor samples compared to the expression distribution of all log-transformed mRNA expression of adjacent normal samples in the cohort.","True","False","lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_ref_normal_Zscores","lusc_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL",,"LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array","False","False","lusc_tcga_pan_can_atlas_2018_rppa","lusc_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL",,"Z-SCORE","Protein expression z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores","True","False","lusc_tcga_pan_can_atlas_2018_rppa_Zscores","lusc_tcga_pan_can_atlas_2018"
"STRUCTURAL_VARIANT",,"SV","Structural variants","Structural Variant Data.","True","False","lusc_tcga_pan_can_atlas_2018_structural_variants","lusc_tcga_pan_can_atlas_2018"
